trial,fast_loading_rate,slow_loading_rate,fast_completed_clusters,slow_completed_clusters
0,0.39032657458770714,0.49668056801088767,0,0
1,0.3420279097259282,0.4978684742553696,0,0
2,0.35471374470752437,0.4333876901982947,0,0
3,0.374612233721372,0.4595679916947759,0,0
4,0.4133809427275814,0.5840787818582882,0,0
5,0.37327858155933313,0.442512592176314,0,0
6,0.3688903491294582,0.4791942559796425,0,0
7,0.3703095851905758,0.5122370524235365,0,0
8,0.3759125070526004,0.5218383769012291,0,0
9,0.38369020057693604,0.4882603388001172,0,0
10,0.3715725435817774,0.5017541297327455,0,0
11,0.3785359176404768,0.5488916685916223,0,0
12,0.37391021553645487,0.5187632495466943,0,0
13,0.37232708226309086,0.566917977808501,0,0
14,0.34187279557285066,0.44246403866932127,0,0
15,0.3649310741913325,0.5410442917579417,0,0
16,0.3576162702105812,0.4894082667696864,0,0
17,0.3625059557066379,0.5288440274231476,0,0
18,0.34914004590547165,0.47081366038081995,0,0
19,0.34927541846307975,0.4937330061016709,0,0
20,0.3557945347072433,0.4765943451499055,0,0
21,0.3685069054357726,0.5371643114848723,0,0
22,0.37847550014014075,0.5268276927292703,0,0
23,0.38839659297718043,0.494767237404492,0,0
24,0.34836032291796215,0.4144455254104784,0,0
25,0.38678243047307603,0.48115338400123164,0,0
26,0.3487900610807948,0.4860830555486473,0,0
27,0.37354742460271595,0.5426991699328809,0,0
28,0.3309884886153469,0.4019464545548246,0,0
29,0.37241457397696465,0.48487825910825677,0,0
30,0.3534113586685095,0.39737066253664466,0,0
31,0.3622061883752359,0.39079286920262746,0,0
32,0.3710038661672854,0.451049068101117,0,0
33,0.3758425599968973,0.5636990306250311,0,0
34,0.3652281466228757,0.5526865001876935,0,0
35,0.37443860458052924,0.46092112542694963,0,0
36,0.36438213948652987,0.4956640577891136,0,0
37,0.3454256120392074,0.5182662763001389,0,0
38,0.36415647908594195,0.4237187696531919,0,0
39,0.35571716844851053,0.4645123943012308,0,0
40,0.35510367104762963,0.4610639656790205,0,0
41,0.3951807432880372,0.49978362954572475,0,0
42,0.3556994640319111,0.40918962664093783,0,0
43,0.33920348922933385,0.43911456390333115,0,0
44,0.3753833078308233,0.48417035218051296,0,0
45,0.3520851685356874,0.47243030532939656,0,0
46,0.3718216420063314,0.4762635625148448,0,0
47,0.3432831790739499,0.4696433997608551,0,0
48,0.3528087146644765,0.44427299550342525,0,0
49,0.4036968806500063,0.5792380723033119,0,0
50,0.3946228242828198,0.5100913511677518,0,0
51,0.37607320152144297,0.515117560253131,0,0
