condition,duration,failure_observed
slow,29.973,0
slow,29.975,0
slow,29.92,0
slow,29.987,0
slow,29.952,0
slow,29.862,0
slow,29.947,0
slow,29.994,0
slow,29.78,0
slow,29.965,0
slow,29.954,0
slow,29.799,0
slow,29.902,0
slow,29.91,0
slow,29.88,0
slow,29.96,0
slow,29.995,0
slow,29.965,0
slow,29.911,0
slow,29.977,0
slow,29.851,0
slow,29.977,0
slow,29.838,0
slow,29.982,0
slow,29.963,0
slow,29.976,0
slow,29.726,0
slow,29.99,0
slow,29.976,0
slow,29.96,0
slow,29.854,0
slow,29.952,0
slow,29.85,0
slow,29.9,0
slow,0.806,1
slow,29.048,0
slow,29.965,0
slow,29.988,0
slow,29.971,0
slow,29.969,0
slow,29.915,0
slow,30.0,0
slow,29.832,0
slow,29.987,0
slow,29.917,0
slow,29.994,0
slow,29.973,0
slow,29.992,0
slow,29.791,0
slow,29.936,0
slow,29.844,0
slow,29.898,0
slow,29.979,0
slow,29.995,0
slow,0.11500000000000002,1
slow,29.823,0
slow,29.986,0
slow,29.913,0
slow,29.996,0
slow,29.943,0
slow,29.875,0
slow,29.873,0
slow,29.993,0
slow,29.803,0
slow,29.991,0
slow,29.999,0
slow,29.838,0
slow,29.92,0
slow,29.917,0
slow,29.933,0
slow,29.992,0
slow,29.982,0
slow,29.827,0
slow,29.769,0
slow,29.968,0
slow,29.932,0
slow,29.928,0
slow,29.982,0
slow,29.88,0
slow,29.963,0
slow,29.782,0
slow,29.936,0
slow,29.908,0
slow,29.881,0
slow,29.998,0
slow,29.994,0
slow,29.865,0
slow,29.992,0
slow,29.966,0
slow,29.919,0
slow,29.954,0
slow,29.719,0
slow,29.98,0
slow,29.781,0
slow,29.938,0
slow,29.985,0
slow,29.991,0
slow,29.978,0
