condition,time,terminal_displacement,sls_q,bound_clutches,total_traction,actin_velocity,loading_rate,phase
fast,2.36,1.9312229172343507,0.12800582629120497,8,1.093617284908382,0.9089010767298638,0.43020566674734084,loading
fast,2.38,1.948319873509364,0.12804570875872945,8,1.1022056455134155,0.9081852575815521,0.428736492040116,loading
fast,2.4,1.9654499472077216,0.12812667750314113,9,1.1108516511070003,0.9074654177073946,0.43666359573646396,loading
fast,2.42,1.9826238895137571,0.1282493400638851,9,1.1195612848207657,0.9067394315995898,0.4344640158433499,loading
fast,2.44,1.9998200839765286,0.12838265109067654,10,1.1282926930789405,0.9060122925235834,0.44020336194194876,loading
fast,2.46,2.017054982454745,0.12854178705846656,10,1.1370692782858427,0.905280697498308,0.43764826553882585,loading
fast,2.48,2.0342800127540634,0.12865864617689157,10,1.145798652553922,0.904553066757971,0.4354536495743133,loading
fast,2.5,2.0514945903049107,0.1287400995816565,10,1.1544873947341117,0.9038288471953806,0.43356107867875693,loading
fast,2.52,2.068724930588097,0.12883040028308373,11,1.1631928655771264,0.9031037823738843,0.43825406373798614,loading
fast,2.54,2.0859846608999604,0.12894210826979996,11,1.1719344387197812,0.9023751357426997,0.43606763217773903,loading
fast,2.56,2.1032335322825126,0.12901879324504276,11,1.1806355593863032,0.9016498854369316,0.4341846294826368,loading
fast,2.58,2.1204711047139657,0.12906620740537228,11,1.1893017597623547,0.9009275663012746,0.4325553776496349,loading
fast,2.6,2.1376970120248195,0.12908916035639206,11,1.197937666368806,0.9002077893308588,0.43113833911112565,loading
fast,2.62,2.154910949794715,0.12909167356991577,11,1.2065471484672758,0.8994902291929594,0.42989878278820726,loading
fast,2.64,2.172112665232568,0.12907710953108817,11,1.2151334421473727,0.898774613793449,0.42880766876152165,loading
fast,2.66,2.1893019487149914,0.12904827972289162,11,1.223699254080385,0.8980607155529408,0.4278407156745878,loading
fast,2.68,2.2064786267112666,0.1290075349158247,11,1.2322468482714641,0.8973483441124632,0.4269776210223952,loading
fast,2.7,2.223642555867677,0.12895684066231763,11,1.2407781185961597,0.8966373402344104,0.42620140908455895,loading
fast,2.72,2.2407936180611827,0.12889784042028546,11,1.2492946494508774,0.895927570702914,0.42549788584445025,loading
fast,2.74,2.2579317162636414,0.12883190833297706,11,1.257797766464798,0.8952189240598625,0.42485518314716586,loading
fast,2.7600000000000002,2.2750567710837473,0.12876019336009661,11,1.2662885789019738,0.8945113070396329,0.42426337756840127,loading
fast,2.7800000000000002,2.2921687178755974,0.12868365617738367,11,1.2747680151151854,0.8938046415880473,0.42371417175246506,loading
fast,2.8000000000000003,2.309267504321081,0.12860310002967298,11,1.2832368521902109,0.8930988623698108,0.42320062794143354,loading
fast,2.82,2.3263530884084336,0.1285191965282329,11,1.2916957407324454,0.8923939146843962,0.4227169452004631,loading
fast,2.84,2.3434254367420113,0.12843250722083374,11,1.3001452255918453,0.8916897527234415,0.422258273143683,loading
fast,2.86,2.3604845231290685,0.1283435016272632,11,1.308585763191798,0.8909863381136938,0.42182055612283165,loading
fast,2.88,2.377530327398084,0.12825257231943368,11,1.3170177360184803,0.8902836386987155,0.4214004030669294,loading
fast,2.9,2.3945628344107384,0.12816004753042617,11,1.3254414647357966,0.8895816275202267,0.4209949785178857,loading
fast,2.92,2.411582033235792,0.12806620169733723,11,1.333857218315229,0.8888802819663678,0.4206019116428372,loading
fast,2.94,2.4285879164583246,0.127971264276541,11,1.3422652225057057,0.8881795830595289,0.4202192200528643,loading
fast,2.96,2.4455804796021905,0.12787542711443806,11,1.3506656669155386,0.8874795148608873,0.41984524618587926,loading
fast,2.98,2.4625597206470893,0.127778850610403,11,1.3590587109339545,0.886780063972506,0.41947860402613557,loading
fast,3.0,2.4795256396247893,0.12768166886984342,11,1.3674444886822381,0.8860812191210364,0.41911813467532255,loading
fast,3.02,2.4964782382815045,0.12758399401284531,11,1.3758231131536025,0.8853829708096248,0.41876286909969807,loading
fast,3.04,2.5134175197956115,0.12748591977680904,11,1.3841946796746085,0.8846853110268666,0.41841199700787257,loading
fast,3.06,2.5303434885416074,0.12738752452871185,11,1.3925592687995163,0.8839882330034472,0.4180648408822485,loading
fast,3.08,2.5472561498927604,0.12728887378379333,11,1.400916948730178,0.8832917310086642,0.41772083414803873,loading
fast,3.1,2.5641555100560947,0.12719002231150026,11,1.4092677773395437,0.8825958001802943,0.41737950307441096,loading
fast,3.12,2.5810415759344174,0.12709101589634964,11,1.4176118038635548,0.8819004363823307,0.41704045152357594,loading
fast,3.14,2.59791435501095,0.12699189281024295,11,1.4259490703157227,0.8812056360860411,0.41670334821564126,loading
fast,3.16,2.6147738552528796,0.1268926850435378,11,1.4342796126699828,0.8805113962705129,0.41636791613797186,loading
