time,radial_alignment,rms_bead_displacement,stretch_energy,bend_energy,max_bead_speed
0.0,0.3097387430635709,0.0,0.0,1.2807156796263126e-29,0.0
0.04,0.3097575125344639,2.934479855991381e-05,3.4400627898679565e-08,1.357747857311533e-09,0.0036993533027363515
0.08,0.30981826828468995,0.00012371079384061566,5.792222620422223e-07,2.363109111466693e-08,0.007809018379713013
0.12,0.30992141759189207,0.0002828285628125587,2.873284333268438e-06,1.2117161097505455e-07,0.011918129546883966
0.16,0.31006733363963856,0.0005064647539282518,8.759013480138249e-06,3.8179541722761696e-07,0.016026940344707537
0.2,0.3102563623236826,0.0007944167363398994,2.0518837334403815e-05,9.243324296694671e-07,0.02013573425354453
0.24,0.31048882810815526,0.0011465082348264906,4.075121516753082e-05,1.8968999779046086e-06,0.024244819947705158
0.28,0.3107650390524954,0.0015625857433000682,7.227622121932329e-05,3.475696495805735e-06,0.0283545271293557
0.32,0.3110852911198684,0.002042515558216421,0.00011806330832166106,5.864172861191967e-06,0.03246520284556251
0.36,0.3114498718658385,0.0025861813089611365,0.00018117581467682085,9.292480935872815e-06,0.03657720820624381
0.4,0.3118590635937593,0.003193481889062193,0.0002647281738322696,1.4017127871870432e-05,0.040690915433697135
0.44,0.3123131460516373,0.0038643297124051424,0.0003718528064413569,2.032078502370035e-05,0.04480670518547119
0.48,0.31281239873453764,0.004598649234207095,0.0005056744211792786,2.851221460257493e-05,0.048924964101691046
0.52,0.3133571028470879,0.005396375688566126,0.0006692900067824799,3.892628735754487e-05,0.05304608253572373
0.56,0.31394754297233735,0.006257454003803467,0.0008657532107637346,5.192407180900235e-05,0.05717045243348205
0.6,0.3145840084860361,0.007181837864200395,0.0010980621107611053,6.789298074209686e-05,0.06129846533193684
0.64,0.3152667947492539,0.008169488892567911,0.0013691496188436183,8.724696438119076e-05,0.06543051045172325
0.68,0.3159962041069882,0.009220375932721766,0.001681875937080319,0.00011042674232502403,0.06956697286227799
0.72,0.3167725467159539,0.010334474414642664,0.002039022618606507,0.00013790006821821517,0.07370823170084687
0.76,0.317596141220934,0.011511765788076642,0.0024432878928005233,0.00017016202247464054,0.07785465842910702
0.8,0.31846731529584743,0.01275223701272985,0.002897282993782868,0.00020773532930102998,0.08200661511312549
0.84,0.3193672713445784,0.014026580441477329,0.0033822850282946384,0.0002500289978227167,0.08245130519777841
